iteration WT PI FT TD FD
0 0.24456251613 0.003996 0 -1.02267252462 0.526792822454
1 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
2 0.24456251613 0.005987 0 -1.0142085828 0.526792822454
3 0.366843774195 0.007985 0 -1.20657368761 0.643889877609
4 0.24456251613 0.0069815 0 -1.00998086299 0.526792822454
5 0.366843774195 0.0089745 2 -1.2032467391 -2.86654111728
6 0.366843774195 0.0109735 0 -1.19652559703 0.643889877609
7 0.366843774195 0.0129625 0 -1.18983807749 0.643889877609
8 0.366843774195 0.011975 0 -1.1931583015 0.643889877609
9 0.366843774195 0.0109795 0 -1.19650542352 0.643889877609
10 0.366843774195 0.007989 0 -1.2065602386 0.643889877609
11 0.366843774195 0.0069895 0 -1.20992080963 0.643889877609
12 0.611406290326 0.0169625 0 -1.46068165976 0.827939668306
13 0.733687548391 0.0209525 0 -1.55659113352 0.905161050555
14 0.733687548391 0.017966 0 -1.56311355644 0.905161050555
15 0.733687548391 0.021942 2 -1.55443009635 -1.56226817743
16 0.611406290326 0.025919 0 -1.43867353132 0.827939668306
17 0.611406290326 0.0209465 0 -1.45089207859 0.827939668306
18 0.855968806456 0.0229445 2 -1.64214737844 -1.30412477124
19 0.855968806456 0.0289085 0 -1.63039049825 0.975751474443
20 0.733687548391 0.023918 2 -1.55011457393 -1.56226817743
21 0.733687548391 0.025907 0 -1.54577065992 0.905161050555
22 0.855968806456 0.0308365 0 -1.62658981666 0.975751474443
23 0.733687548391 0.0327215 2 -1.53088800429 -1.56226817743
24 0.48912503226 0.0287795 0 -1.30090971204 0.742011417482
25 0.366843774195 0.023843 0 -1.1532550929 0.643889877609
26 0.611406290326 0.021913 0 -1.44851717142 0.827939668306
27 0.733687548391 0.031822 2 -1.53285248426 -1.56226817743
28 0.733687548391 0.035736 0 -1.52430443024 0.905161050555
29 0.733687548391 0.039686 0 -1.51567775334 0.905161050555
30 0.733687548391 0.035672 2 -1.52444420424 -1.56226817743
31 0.733687548391 0.033692 3 -1.52876846254 -2.79598279143
32 0.611406290326 0.035698 2 -1.41464433599 -1.88037289375
33 0.366843774195 0.033705 0 -1.12009656213 0.643889877609
34 0.366843774195 0.0307185 0 -1.13013792819 0.643889877609
35 0.733687548391 0.041596 3 -1.51150637286 -2.79598279143
36 0.611406290326 0.0445345 0 -1.39293107446 0.827939668306
37 0.733687548391 0.0483555 2 -1.49674383552 -1.56226817743
38 0.611406290326 0.0483745 0 -1.38349533358 0.827939668306
39 0.611406290326 0.0521725 0 -1.37416279611 0.827939668306
40 0.733687548391 0.0521395 2 -1.48847969745 -1.56226817743
41 0.733687548391 0.045336 2 -1.50333832942 -1.56226817743
42 0.733687548391 0.0424355 3 -1.50967293103 -2.79598279143
43 0.611406290326 0.0423425 2 -1.39831730988 -1.88037289375
44 0.611406290326 0.0442685 2 -1.39358469609 -1.88037289375
45 0.733687548391 0.04911 2 -1.49509603104 -1.56226817743
46 1.10053132259 0.0640685 2 -1.7188832073 -0.900710377713
47 1.10053132259 0.0833435 2 -1.68691730066 -0.900710377713
48 0.978250064521 0.078613 2 -1.61934525308 -1.08735981723
49 1.22281258065 0.066771 3 -1.77919983301 -1.68501460543
50 1.10053132259 0.064818 2 -1.7176402269 -0.900710377713
51 0.978250064521 0.068414 2 -1.63770343649 -1.08735981723
52 0.978250064521 0.0712955 2 -1.63251674118 -1.08735981723
53 1.10053132259 0.074338 3 -1.70185213709 -1.90209085969
54 0.978250064521 0.0675675 2 -1.63922713511 -1.08735981723
55 0.978250064521 0.0637135 4 -1.64616432885 -3.21578631275
56 0.855968806456 0.072111 3 -1.54522506962 -2.44406289408
57 0.978250064521 0.072 5 -1.63124864232 -4.27999956051
58 0.855968806456 0.075612 2 -1.53832352074 -1.30412477124
59 0.855968806456 0.0745455 4 -1.54042592059 -3.58400101693
60 0.733687548391 0.075333 4 -1.43782581627 -4.02969740542
61 0.733687548391 0.080954 3 -1.42554972744 -2.79598279143
62 0.611406290326 0.0763295 2 -1.31480363141 -1.88037289375
63 0.733687548391 0.0800315 3 -1.42756443869 -2.79598279143
64 0.611406290326 0.079032 2 -1.30816298305 -1.88037289375
65 0.611406290326 0.0801025 2 -1.30553252455 -1.88037289375
66 0.733687548391 0.088618 3 -1.40881179029 -2.79598279143
67 0.733687548391 0.081246 2 -1.42491200854 -1.56226817743
68 0.855968806456 0.0877835 3 -1.51432974689 -2.44406289408
69 0.978250064521 0.0857925 5 -1.60642216475 -4.27999956051
70 1.10053132259 0.096371 2 -1.66531232796 -0.900710377713
71 1.10053132259 0.100667 2 -1.65818778659 -0.900710377713
72 0.978250064521 0.099023 2 -1.58260728627 -1.08735981723
73 0.978250064521 0.125756 2 -1.53448792974 -1.08735981723
74 1.10053132259 0.124083 2 -1.61935439256 -0.900710377713
75 1.22281258065 0.1233935 2 -1.69205526638 -0.736879036226
76 1.10053132259 0.1386835 2 -1.59514073654 -0.900710377713
77 1.10053132259 0.145241 2 -1.58426569463 -0.900710377713
78 1.22281258065 0.1480305 3 -1.65413781859 -1.68501460543
79 1.10053132259 0.1424525 2 -1.58889017871 -0.900710377713
80 1.10053132259 0.154751 2 -1.56849418894 -0.900710377713
81 1.10053132259 0.1623215 2 -1.55593917487 -0.900710377713
82 1.10053132259 0.1621105 2 -1.55628909997 -0.900710377713
83 1.22281258065 0.1662185 2 -1.62614567098 -0.736879036226
84 1.34509383872 0.165508 2 -1.69482660145 -0.59088987625
85 1.46737509678 0.1735285 5 -1.74419793207 -3.04570182099
86 1.22281258065 0.1796485 2 -1.60547629874 -0.736879036226
87 1.46737509678 0.1845765 5 -1.72930443635 -3.04570182099
88 1.22281258065 0.151137 2 -1.64935677578 -0.736879036226
89 1.22281258065 0.1401935 2 -1.66619931302 -0.736879036226
90 0.978250064521 0.1249655 2 -1.53591082846 -1.08735981723
91 1.10053132259 0.1139875 2 -1.63609689894 -0.900710377713
92 1.22281258065 0.103941 2 -1.72199353619 -0.736879036226
93 1.10053132259 0.0992435 2 -1.6605485372 -0.900710377713
94 1.10053132259 0.1051135 2 -1.65081365409 -0.900710377713
95 1.10053132259 0.1111265 2 -1.64084161795 -0.900710377713
96 1.10053132259 0.1113075 2 -1.64054144524 -0.900710377713
97 1.10053132259 0.114115 2 -1.63588545131 -0.900710377713
98 1.10053132259 0.120176 2 -1.62583381136 -0.900710377713
99 1.22281258065 0.133935 2 -1.67583142517 -0.736879036226
100 1.22281258065 0.116474 3 -1.70270468718 -1.68501460543
101 1.10053132259 0.106589 2 -1.64836666601 -0.900710377713
102 1.10053132259 0.0880865 2 -1.67905144877 -0.900710377713
103 1.10053132259 0.0996795 2 -1.65982546923 -0.900710377713
104 1.10053132259 0.104399 2 -1.65199859004 -0.900710377713
105 1.10053132259 0.100472 2 -1.65851117708 -0.900710377713
106 1.22281258065 0.0996045 2 -1.72866760415 -0.736879036226
107 1.34509383872 0.0938775 3 -1.79774516227 -1.49314108594
108 1.46737509678 0.090802 5 -1.85571918242 -3.04570182099
109 1.58965635485 0.0936845 4 -1.90024143803 -1.99272649567
110 1.58965635485 0.0956405 5 -1.89775685101 -2.81946607683
111 1.58965635485 0.1033315 4 -1.88798744468 -1.99272649567
112 1.71193761291 0.094873 6 -1.94263011652 -3.40957814338
113 1.58965635485 0.0975225 4 -1.89536626166 -1.99272649567
114 1.34509383872 0.102297 3 -1.78564804131 -1.49314108594
115 1.34509383872 0.094693 3 -1.79657345348 -1.49314108594
116 1.34509383872 0.096704 3 -1.79368405265 -1.49314108594
117 1.34509383872 0.094871 3 -1.79631770343 -1.49314108594
118 1.46737509678 0.0998075 4 -1.84357912307 -2.18353787649
119 1.34509383872 0.1056155 5 -1.78088002707 -3.29764350531
120 1.34509383872 0.104479 5 -1.78251294802 -3.29764350531
121 1.34509383872 0.104232 5 -1.78286783713 -3.29764350531
122 1.34509383872 0.1014235 5 -1.78690308438 -3.29764350531
123 1.34509383872 0.0953575 5 -1.79561870119 -3.29764350531
124 1.34509383872 0.1046655 5 -1.78224498519 -3.29764350531
