iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.0 0 0 0 0
3 0.400297493436 0.00988334477012 0 -1.28328751105 0.675806294068
4 0.533729991248 0.0177727673757 0 -1.42234407252 0.778158450884
5 0.400297493436 0.0157984511322 0 -1.26384461394 0.675806294068
6 0.800594986872 0.0236996372905 2 -1.64914481835 -1.41984202938
7 0.800594986872 0.0158180570532 3 -1.66587534353 -2.60363066945
8 0.934027484684 0.0276561121459 2 -1.73397202896 -1.16504729974
9 0.66716248906 0.0197470836193 2 -1.54889455083 -1.73321294876
10 0.66716248906 0.0256661111656 0 -1.53473370536 0.867573620547
11 0.66716248906 0.0256425840604 2 -1.53478999226 -1.73321294876
12 0.800594986872 0.0236917949221 3 -1.64916146564 -2.60363066945
13 0.533729991248 0.0157984511322 2 -1.42778668845 -2.13776706818
14 0.400297493436 0.00988334477012 0 -1.28328751105 0.675806294068
15 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
16 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
17 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
18 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
19 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
20 0.0 0 0 0 0
21 0.0 0 0 0 0
22 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
23 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
24 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
25 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
26 0.266864995624 0.00395647485541 2 -1.09532544734 -3.5937501543
27 0.0 0 0 0 0
28 0.0 0 0 0 0
29 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
30 0.266864995624 0.00593079109891 0 -1.08710008129 0.55335915366
31 0.266864995624 0.00593079109891 0 -1.08710008129 0.55335915366
32 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
33 0.266864995624 0.00790510734242 0 -1.07887471523 0.55335915366
34 0.266864995624 0.00593079109891 0 -1.08710008129 0.55335915366
35 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
36 0.133432497812 0.00592294873052 0 -0.779449633393 0.39240055131
37 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
38 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
39 0.133432497812 0.0019782374277 0 -0.803563151172 0.39240055131
40 0.0 0 0 0 0
41 0.0 0 0 0 0
42 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
43 0.400297493436 0.00790902852662 2 -1.28977706935 -2.70071394475
44 0.400297493436 0.0118576610136 0 -1.27679795275 0.675806294068
45 0.266864995624 0.00790510734242 0 -1.07887471523 0.55335915366
46 0.533729991248 0.0138358984413 0 -1.43319687569 0.778158450884
47 0.400297493436 0.00593471228311 2 -1.29626662764 -2.70071394475
48 0.533729991248 0.0118576610136 2 -1.43865030119 -2.13776706818
49 0.533729991248 0.0157984511322 2 -1.42778668845 -2.13776706818
50 0.400297493436 0.00987942358592 2 -1.28330039994 -2.70071394475
51 0.266864995624 0.00790510734242 0 -1.07887471523 0.55335915366
52 0.133432497812 0.00395255367121 0 -0.791494407433 0.39240055131
53 0.266864995624 0.011845897461 0 -1.06245665587 0.55335915366
54 0.266864995624 0.0157749240271 0 -1.04608760565 0.55335915366
55 0.400297493436 0.0216821880208 0 -1.24450482799 0.675806294068
56 0.400297493436 0.0236525830801 0 -1.23802815859 0.675806294068
57 0.400297493436 0.0236329771591 0 -1.23809260306 0.675806294068
58 0.66716248906 0.0354749534359 0 -1.51126675938 0.867573620547
59 0.66716248906 0.0295990589158 0 -1.52532441221 0.867573620547
60 0.533729991248 0.0236682678169 0 -1.40609189169 0.778158450884
61 0.66716248906 0.0470895010293 0 -1.48347979397 0.867573620547
62 0.934027484684 0.0489148122733 3 -1.69330217496 -2.25799039442
63 0.66716248906 0.0372728163905 2 -1.50696550225 -1.73321294876
64 0.66716248906 0.0508695225958 0 -1.47443636566 0.867573620547
65 0.66716248906 0.0626330751887 0 -1.44629291656 0.867573620547
66 0.533729991248 0.0509557886482 0 -1.3308681295 0.778158450884
67 0.66716248906 0.0510302911479 2 -1.47405173852 -1.73321294876
68 0.533729991248 0.060674443682 0 -1.30407662287 0.778158450884
69 0.400297493436 0.0719752965396 0 -1.07919186924 0.675806294068
70 0.400297493436 0.0662719341241 0 -1.09793876605 0.675806294068
71 0.533729991248 0.0642936966964 0 -1.29409939446 0.778158450884
72 0.400297493436 0.0664366238604 0 -1.09739743249 0.675806294068
73 0.533729991248 0.0722262523282 0 -1.27223164466 0.778158450884
74 0.400297493436 0.049028526615 0 -1.15461767889 0.675806294068
75 0.400297493436 0.0722929124596 0 -1.0781478688 0.675806294068
76 0.400297493436 0.0760298009999 0 -1.0658647525 0.675806294068
77 0.400297493436 0.0645603372218 0 -1.10356476843 0.675806294068
78 0.800594986872 0.0725713165376 0 -1.54540307676 0.947735250755
79 0.800594986872 0.0685971963533 2 -1.55383909033 -1.41984202938
80 1.20089248031 0.0512381139104 3 -1.84539779314 -1.72462948849
81 1.0674599825 0.0610077443388 2 -1.75567100863 -0.95076341557
82 0.934027484684 0.0609861778257 2 -1.67020853934 -1.16504729974
83 0.800594986872 0.0668326634644 0 -1.5575847303 0.947735250755
84 0.934027484684 0.0571179296147 2 -1.67760885493 -1.16504729974
85 0.800594986872 0.041409665719 2 -1.61155107856 -1.41984202938
86 0.800594986872 0.0433565336732 0 -1.60741838913 0.947735250755
87 0.934027484684 0.0590451916479 0 -1.67392182491 1.02083888963
88 0.800594986872 0.0609802960494 0 -1.57000776952 0.947735250755
89 0.800594986872 0.0609489265758 0 -1.57007435867 0.947735250755
