iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.0 0 0 0 0
3 0.101185686166 0.000181801652893 0 -0.658930644041 0.335524741565
4 0.202371372331 0.000545371900826 0 -0.904682704196 0.474029118992
5 0.404742744663 0.00145424793388 0 -1.21240206339 0.669042278683
6 0.303557058497 0.00163588429752 0 -1.07541669515 0.579985305251
7 0.303557058497 0.0019992231405 0 -1.07412251412 0.579985305251
8 0.404742744663 0.00218056198347 3 -1.21021855293 -4.28997641286
9 0.303557058497 0.00199876033058 2 -1.0741241626 -3.2412752388
10 0.303557058497 0.00236176859504 2 -1.07283115906 -3.2412752388
11 0.404742744663 0.00254416528926 0 -1.20912545605 0.669042278683
12 0.404742744663 0.00308914049587 0 -1.20748710268 0.669042278683
13 0.505928430829 0.002908 0 -1.31985515095 0.747268429672
14 0.505928430829 0.00272636363636 0 -1.32033173932 0.747268429672
15 0.404742744663 0.00181748760331 2 -1.21131005971 -2.63697018234
16 0.505928430829 0.00236279338843 2 -1.32128569673 -2.20677955078
17 0.505928430829 0.00254456198347 0 -1.32080876139 0.747268429672
18 0.404742744663 0.00236252892562 2 -1.20967150758 -2.63697018234
19 0.404742744663 0.00272609917355 0 -1.20857851008 0.669042278683
20 0.404742744663 0.00308940495868 0 -1.20748630763 0.669042278683
21 0.505928430829 0.00272609917355 2 -1.32033243323 -2.20677955078
22 0.505928430829 0.00181771900826 2 -1.32271589555 -2.20677955078
23 0.505928430829 0.00145428099174 2 -1.323669506 -2.20677955078
24 0.607114116994 0.00218109090909 3 -1.41552905357 -3.22320432095
25 0.505928430829 0.00181752066116 3 -1.32271641598 -3.68380354101
26 0.505928430829 0.00181765289256 2 -1.32271606903 -2.20677955078
27 0.505928430829 0.00218102479339 2 -1.32176263206 -2.20677955078
28 0.607114116994 0.00163608264463 3 -1.41680436009 -3.22320432095
29 0.70829980316 0.00145438016529 5 -1.49753279005 -5.34677128635
30 0.70829980316 0.00199958677686 4 -1.49637770755 -4.10093139979
31 0.809485489326 0.00218145454545 4 -1.56610369583 -3.71447644999
32 0.505928430829 0.0010907768595 3 -1.32462328992 -3.68380354101
33 0.809485489326 0.00145441322314 7 -1.56751409643 -7.20715116208
34 0.809485489326 0.00254489256198 4 -1.56539865584 -3.71447644999
35 0.70829980316 0.00290819834711 3 -1.49445271013 -2.85509151324
36 0.70829980316 0.00363454545455 3 -1.49291386079 -2.85509151324
37 0.70829980316 0.00490504132231 3 -1.49022217013 -2.85509151324
38 0.70829980316 0.00653788429752 3 -1.48676280573 -2.85509151324
39 0.70829980316 0.00508697520661 3 -1.48983672241 -2.85509151324
40 1.01185686166 0.00690419834711 4 -1.6750910406 -3.10546807933
41 1.01185686166 0.00744758677686 4 -1.67418530134 -3.10546807933
42 1.11304254782 0.0076294214876 5 -1.72385863866 -3.84779810124
43 1.01185686166 0.00690287603306 5 -1.67509324469 -4.1447315736
44 0.910671175492 0.0054507768595 4 -1.62206676425 -3.38763206748
45 1.21422823399 0.00581428099174 6 -1.77165377911 -4.53141866249
46 1.41659960632 0.00672315702479 8 -1.84862443495 -5.75982877206
47 1.21422823399 0.00617761983471 7 -1.77112108861 -5.47827089115
48 1.01185686166 0.00690152066116 4 -1.67509550387 -3.10546807933
49 1.01185686166 0.00563046280992 7 -1.67721414855 -6.22325856215
50 0.910671175492 0.00562996694215 5 -1.62174567307 -4.48419130735
51 0.910671175492 0.00599290909091 4 -1.6210953161 -3.38763206748
52 0.910671175492 0.00508667768595 5 -1.62271919449 -4.48419130735
53 0.809485489326 0.00490547107438 4 -1.5608193269 -3.71447644999
54 0.809485489326 0.00472333884298 5 -1.56117264851 -4.87870135402
55 0.70829980316 0.00526755371901 3 -1.4894541462 -2.85509151324
56 0.70829980316 0.00526755371901 3 -1.4894541462 -2.85509151324
57 0.809485489326 0.00508737190083 4 -1.5604664542 -3.71447644999
58 0.809485489326 0.00526900826446 3 -1.56011409453 -2.55025154596
59 0.809485489326 0.00363480991736 4 -1.56328430546 -3.71447644999
60 0.70829980316 0.00290819834711 3 -1.49445271013 -2.85509151324
61 0.70829980316 0.00254476033058 3 -1.49522269509 -2.85509151324
62 0.70829980316 0.00345300826446 3 -1.49329846807 -2.85509151324
63 0.809485489326 0.00345290909091 4 -1.56363717816 -3.71447644999
64 0.809485489326 0.00345310743802 4 -1.56363679338 -3.71447644999
65 0.70829980316 0.00308933884298 4 -1.49406894329 -4.10093139979
66 0.910671175492 0.00399768595041 5 -1.62467056159 -4.48419130735
67 0.809485489326 0.00417872727273 4 -1.56222915034 -3.71447644999
68 0.910671175492 0.00454262809917 4 -1.62369407835 -3.38763206748
69 0.910671175492 0.00436119008264 4 -1.6240191976 -3.38763206748
70 1.11304254782 0.00418021487603 7 -1.72923757299 -5.82764899932
71 1.11304254782 0.00527009917355 5 -1.7275379311 -3.84779810124
72 1.21422823399 0.00744785123967 5 -1.76925880437 -3.58456643383
73 1.11304254782 0.00781105785124 4 -1.7235753822 -2.8578726522
74 1.11304254782 0.00817502479339 4 -1.72300778666 -2.8578726522
75 1.11304254782 0.0112565289256 5 -1.71820227333 -3.84779810124
76 1.11304254782 0.00926378512397 4 -1.72130989756 -2.8578726522
77 1.21422823399 0.0103519173554 5 -1.76500115764 -3.58456643383
78 1.11304254782 0.00889968595041 5 -1.72187769931 -3.84779810124
79 1.21422823399 0.00853776859504 5 -1.76766087826 -3.58456643383
80 1.21422823399 0.00835699173554 5 -1.76792591493 -3.58456643383
81 1.21422823399 0.00835715702479 6 -1.7679256726 -4.53141866249
82 1.31541392015 0.00944552066116 7 -1.80748130806 -5.16624301236
83 1.21422823399 0.00890190082645 5 -1.76712702457 -3.58456643383
84 1.21422823399 0.0070873553719 5 -1.76978732678 -3.58456643383
