iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.122281258065 0.0009995 0 -0.754358625379 0.373252102833
3 0.0 0 0 0 0
4 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
5 0.48912503226 0.005995 2 -1.36529738447 -2.29202433429
6 0.366843774195 0.0049945 2 -1.21662850268 -2.86654111728
7 0.48912503226 0.0089845 2 -1.35684923126 -2.29202433429
8 0.611406290326 0.0149655 2 -1.46558873646 -1.88037289375
9 0.611406290326 0.0209495 0 -1.45088470692 0.827939668306
10 0.48912503226 0.013959 2 -1.34279158345 -2.29202433429
11 0.611406290326 0.0169485 2 -1.4607160609 -1.88037289375
12 0.366843774195 0.007987 0 -1.2065669631 0.643889877609
13 0.366843774195 0.013951 0 -1.18651449124 0.643889877609
14 0.366843774195 0.0188825 0 -1.16993354472 0.643889877609
15 0.48912503226 0.0129485 2 -1.34564719771 -2.29202433429
16 0.366843774195 0.0089745 2 -1.2032467391 -2.86654111728
17 0.366843774195 0.0089745 2 -1.2032467391 -2.86654111728
18 0.48912503226 0.0149505 2 -1.3399896621 -2.29202433429
19 0.48912503226 0.0169535 0 -1.33432930054 0.742011417482
20 0.48912503226 0.017931 0 -1.33156694237 0.742011417482
21 0.48912503226 0.019922 0 -1.32594049211 0.742011417482
22 0.48912503226 0.023881 0 -1.31475258827 0.742011417482
23 0.611406290326 0.013968 2 -1.46803981759 -1.88037289375
24 0.48912503226 0.0109825 0 -1.35120299942 0.742011417482
25 0.48912503226 0.009985 0 -1.35402187643 0.742011417482
26 0.366843774195 0.0109735 0 -1.19652559703 0.643889877609
27 0.366843774195 0.013951 0 -1.18651449124 0.643889877609
28 0.366843774195 0.015943 0 -1.17981688494 0.643889877609
29 0.366843774195 0.0169345 0 -1.17648321193 0.643889877609
30 0.48912503226 0.021898 2 -1.32035643099 -2.29202433429
31 0.48912503226 0.0189265 2 -1.32875371724 -2.29202433429
32 0.733687548391 0.023906 2 -1.55014078156 -1.56226817743
33 0.733687548391 0.0347805 2 -1.52639121246 -1.56226817743
34 0.855968806456 0.035828 2 -1.61675003338 -1.30412477124
35 0.978250064521 0.0308935 2 -1.70524027547 -1.08735981723
36 0.978250064521 0.0328875 2 -1.70165107871 -1.08735981723
37 1.10053132259 0.0269115 4 -1.78050485155 -2.90347134167
38 1.10053132259 0.031898 2 -1.77223517614 -0.900710377713
39 1.10053132259 0.0269205 4 -1.78048992583 -2.90347134167
40 0.855968806456 0.0289025 2 -1.6304023261 -1.30412477124
41 0.733687548391 0.031863 0 -1.53276294154 0.905161050555
42 0.733687548391 0.027903 0 -1.54141145813 0.905161050555
43 0.733687548391 0.0387925 0 -1.51762912949 0.905161050555
44 0.733687548391 0.037812 0 -1.51977051094 0.905161050555
45 0.733687548391 0.041767 0 -1.51113291419 0.905161050555
46 0.733687548391 0.05163 0 -1.48959242957 0.905161050555
47 0.733687548391 0.0486705 0 -1.49605588534 0.905161050555
48 0.733687548391 0.0387865 0 -1.51764223331 0.905161050555
49 0.733687548391 0.0407235 0 -1.51341188567 0.905161050555
50 0.855968806456 0.045612 2 -1.5974627571 -1.30412477124
51 0.978250064521 0.0563915 3 -1.65934391694 -2.15157306499
52 0.855968806456 0.0603435 2 -1.56842243508 -1.30412477124
53 0.733687548391 0.047501 0 -1.49861003689 0.905161050555
54 0.978250064521 0.0583845 0 -1.65575652018 1.04106667828
55 0.978250064521 0.067115 2 -1.64004163438 -1.08735981723
56 0.978250064521 0.0777465 2 -1.62090495167 -1.08735981723
57 0.978250064521 0.084453 2 -1.60883326257 -1.08735981723
58 0.855968806456 0.0944955 2 -1.50109832841 -1.30412477124
59 0.855968806456 0.1022695 2 -1.48577338096 -1.30412477124
60 0.978250064521 0.107005 2 -1.56823969925 -1.08735981723
61 1.10053132259 0.1062335 2 -1.64895623176 -0.900710377713
62 1.10053132259 0.120949 2 -1.62455185827 -0.900710377713
63 1.10053132259 0.115383 4 -1.63378258389 -2.90347134167
64 1.22281258065 0.119321 4 -1.69832302651 -2.63315017464
65 1.10053132259 0.1107045 2 -1.64154146815 -0.900710377713
66 1.10053132259 0.1148435 2 -1.63467729759 -0.900710377713
67 1.10053132259 0.127223 2 -1.61414697639 -0.900710377713
68 1.10053132259 0.1186955 2 -1.6282890915 -0.900710377713
69 1.10053132259 0.1261845 2 -1.61586923807 -0.900710377713
70 1.10053132259 0.1296425 2 -1.61013444663 -0.900710377713
71 1.22281258065 0.132225 2 -1.67846319185 -0.736879036226
72 1.34509383872 0.130645 2 -1.74491769094 -0.59088987625
73 1.22281258065 0.1299115 2 -1.6820237721 -0.736879036226
74 1.22281258065 0.1200105 2 -1.69726185509 -0.736879036226
75 1.22281258065 0.157071 2 -1.64022408368 -0.736879036226
76 1.34509383872 0.1640195 5 -1.69696527531 -3.29764350531
77 1.34509383872 0.1596035 5 -1.70331017538 -3.29764350531
78 1.46737509678 0.147782 4 -1.77890605912 -2.18353787649
79 1.46737509678 0.1544425 3 -1.76992722781 -1.32137393199
80 1.46737509678 0.175244 3 -1.74188531514 -1.32137393199
81 1.46737509678 0.1642975 4 -1.75664198159 -2.18353787649
82 1.46737509678 0.1596585 4 -1.76289568603 -2.18353787649
83 1.58965635485 0.1591425 4 -1.81709414909 -1.99272649567
84 1.58965635485 0.1417265 3 -1.83921662739 -1.1659869145
85 1.83421887098 0.1359945 4 -1.93570592477 -1.66050001396
86 1.58965635485 0.140501 3 -1.84077330499 -1.1659869145
87 1.58965635485 0.148385 3 -1.83075874258 -1.1659869145
88 1.46737509678 0.167067 3 -1.75290849712 -1.32137393199
89 1.83421887098 0.1834585 5 -1.88160450709 -2.42719799267
90 1.83421887098 0.176502 5 -1.88953381166 -2.42719799267
