iteration WT PI FT TD FD
0 0.122281258065 0.001998 0 -0.748148069897 0.373252102833
1 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
2 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
3 0.366843774195 0.0049955 0 -1.21662514043 0.643889877609
4 0.366843774195 0.0069905 0 -1.20991744738 0.643889877609
5 0.366843774195 0.0049955 0 -1.21662514043 0.643889877609
6 0.48912503226 0.0069925 2 -1.36247850746 -2.29202433429
7 0.366843774195 0.0069915 0 -1.20991408512 0.643889877609
8 0.366843774195 0.009981 0 -1.1998626323 0.643889877609
9 0.366843774195 0.011964 0 -1.19319528627 0.643889877609
10 0.24456251613 0.0129515 0 -0.984601790828 0.526792822454
11 0.24456251613 0.0089775 0 -1.00149566566 0.526792822454
12 0.24456251613 0.009974 0 -0.997259443651 0.526792822454
13 0.24456251613 0.0089775 0 -1.00149566566 0.526792822454
14 0.24456251613 0.009966 0 -0.997293452458 0.526792822454
15 0.366843774195 0.011963 0 -1.19319864853 0.643889877609
16 0.611406290326 0.0149585 2 -1.46560593703 -1.88037289375
17 0.366843774195 0.0169415 0 -1.17645967616 0.643889877609
18 0.48912503226 0.0189505 0 -1.32868589463 0.742011417482
19 0.611406290326 0.019953 0 -1.45333333083 0.827939668306
20 0.611406290326 0.0209305 0 -1.45093139418 0.827939668306
21 0.48912503226 0.0189465 0 -1.3286971984 0.742011417482
22 0.48912503226 0.019933 0 -1.32590940675 0.742011417482
23 0.611406290326 0.021922 0 -1.4484950564 0.827939668306
24 0.855968806456 0.0189655 2 -1.64999121249 -1.30412477124
25 0.855968806456 0.0229505 2 -1.64213555059 -1.30412477124
26 0.978250064521 0.025944 2 -1.71414936742 -1.08735981723
27 0.978250064521 0.0229615 0 -1.71951786257 1.04106667828
28 1.10053132259 0.0229625 0 -1.78705392368 1.10205058624
29 1.22281258065 0.02895 2 -1.83740804801 -0.736879036226
30 1.22281258065 0.024954 4 -1.84355807121 -2.63315017464
31 1.10053132259 0.024949 3 -1.78375948666 -1.90209085969
32 0.978250064521 0.0309165 2 -1.70519887551 -1.08735981723
33 0.855968806456 0.0289045 2 -1.63039838348 -1.30412477124
34 0.855968806456 0.031886 2 -1.62452092904 -1.30412477124
35 0.855968806456 0.0289065 2 -1.63039444087 -1.30412477124
36 0.733687548391 0.029892 2 -1.53706754411 -1.56226817743
37 0.611406290326 0.01596 2 -1.46314502701 -1.88037289375
38 0.611406290326 0.0169525 2 -1.460706232 -1.88037289375
39 0.611406290326 0.0149605 2 -1.46560102258 -1.88037289375
