iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.122281258065 0.001998 0 -0.748148069897 0.373252102833
3 0.0 0 0 0 0
4 0.0 0 0 0 0
5 0.122281258065 0.0009995 0 -0.754358625379 0.373252102833
6 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
7 0.24456251613 0.003995 0 -1.02267677572 0.526792822454
8 0.24456251613 0.005987 0 -1.0142085828 0.526792822454
9 0.24456251613 0.009966 0 -0.997293452458 0.526792822454
10 0.24456251613 0.007983 0 -1.00572338547 0.526792822454
11 0.24456251613 0.0089735 0 -1.00151267007 0.526792822454
12 0.24456251613 0.0049935 0 -1.0184320515 0.526792822454
13 0.366843774195 0.005993 0 -1.2132712939 0.643889877609
14 0.366843774195 0.005994 0 -1.21326793165 0.643889877609
15 0.48912503226 0.007991 0 -1.35965680451 0.742011417482
16 0.366843774195 0.0069905 0 -1.20991744738 0.643889877609
17 0.611406290326 0.007992 2 -1.48272418933 -1.88037289375
18 0.733687548391 0.015964 2 -1.56748586205 -1.56226817743
19 0.733687548391 0.019948 2 -1.55878493021 -1.56226817743
20 0.611406290326 0.0189455 0 -1.45580898419 0.827939668306
21 0.733687548391 0.023917 2 -1.5501167579 -1.56226817743
22 0.733687548391 0.0209315 2 -1.55663699686 -1.56226817743
23 0.48912503226 0.019923 0 -1.32593766617 0.742011417482
24 0.48912503226 0.025863 0 -1.30915157149 0.742011417482
25 0.366843774195 0.0228675 0 -1.15653496988 0.643889877609
26 0.366843774195 0.021859 0 -1.15992580118 0.643889877609
27 0.366843774195 0.0306975 0 -1.13020853549 0.643889877609
28 0.366843774195 0.0287735 0 -1.13667750864 0.643889877609
29 0.24456251613 0.0327075 0 -0.900617042155 0.526792822454
30 0.24456251613 0.0366155 0 -0.884003739977 0.526792822454
31 0.24456251613 0.0444735 0 -0.850598589387 0.526792822454
32 0.366843774195 0.0464875 0 -1.07711857393 0.643889877609
33 0.366843774195 0.0347535 0 -1.11657124074 0.643889877609
34 0.366843774195 0.0445865 0 -1.08351021528 0.643889877609
35 0.366843774195 0.045551 0 -1.08026732307 0.643889877609
36 0.48912503226 0.041611 0 -1.264648639 0.742011417482
37 0.366843774195 0.0287675 0 -1.13669768215 0.643889877609
38 0.366843774195 0.0385455 0 -1.10382158056 0.643889877609
39 0.48912503226 0.0366815 0 -1.27857911942 0.742011417482
40 0.611406290326 0.0465645 0 -1.38794290936 0.827939668306
41 0.611406290326 0.0445645 2 -1.39285735773 -1.88037289375
42 0.48912503226 0.038669 0 -1.27296255997 0.742011417482
43 0.733687548391 0.043633 0 -1.50705762835 0.905161050555
44 0.733687548391 0.032828 2 -1.53065541161 -1.56226817743
45 0.733687548391 0.0268825 2 -1.54364019832 -1.56226817743
46 0.611406290326 0.0288685 3 -1.43142594858 -3.23452917478
47 0.48912503226 0.0308365 0 -1.29509674963 0.742011417482
48 0.48912503226 0.0347305 0 -1.284092532 0.742011417482
49 0.48912503226 0.041599 0 -1.2646825503 0.742011417482
50 0.611406290326 0.0367745 0 -1.41199913415 0.827939668306
51 0.48912503226 0.0406955 0 -1.26723578878 0.742011417482
52 0.611406290326 0.0407205 0 -1.40230292751 0.827939668306
53 0.611406290326 0.051493 2 -1.37583247995 -1.88037289375
54 0.366843774195 0.05148 0 -1.06033253004 0.643889877609
55 0.366843774195 0.0406335 0 -1.09680119806 0.643889877609
56 0.48912503226 0.043656 0 -1.25886958789 0.742011417482
57 0.48912503226 0.043655 0 -1.25887241383 0.742011417482
58 0.855968806456 0.0466685 2 -1.59538007032 -1.30412477124
59 0.611406290326 0.045708 0 -1.39004752187 0.827939668306
60 0.733687548391 0.0526005 0 -1.48747288782 0.905161050555
61 0.733687548391 0.045684 2 -1.50257830827 -1.56226817743
62 0.978250064521 0.055521 2 -1.66091081552 -1.08735981723
63 0.978250064521 0.0505815 2 -1.66980190749 -1.08735981723
64 0.978250064521 0.061449 2 -1.65024042516 -1.08735981723
65 1.10053132259 0.0603265 3 -1.72508898798 -1.90209085969
66 0.978250064521 0.0602755 2 -1.65235272325 -1.08735981723
67 0.978250064521 0.069109 0 -1.63645243762 1.04106667828
68 0.855968806456 0.0681955 0 -1.55294372562 0.975751474443
69 0.855968806456 0.0780215 0 -1.5335736544 0.975751474443
70 0.733687548391 0.077067 0 -1.43403881431 0.905161050555
71 0.855968806456 0.08703 0 -1.51581512738 0.975751474443
72 0.733687548391 0.0839515 0 -1.41900328086 0.905161050555
73 0.855968806456 0.090842 0 -1.50830050175 0.975751474443
74 0.855968806456 0.0877585 0 -1.51437902959 0.975751474443
75 0.855968806456 0.0876455 0 -1.51460178738 0.975751474443
76 0.855968806456 0.08679 2 -1.51628824127 -1.30412477124
77 0.855968806456 0.092571 2 -1.50489211042 -1.30412477124
78 0.978250064521 0.0993975 2 -1.58193318688 -1.08735981723
79 0.978250064521 0.0975265 0 -1.58530098384 1.04106667828
80 0.978250064521 0.0936585 2 -1.59226337754 -1.08735981723
81 0.978250064521 0.0898125 2 -1.59918617129 -1.08735981723
82 0.978250064521 0.0840355 2 -1.6095847619 -1.08735981723
83 1.10053132259 0.0801795 2 -1.69216451874 -0.900710377713
84 1.22281258065 0.0860875 2 -1.7494708733 -0.736879036226
85 1.10053132259 0.098721 2 -1.66141505789 -0.900710377713
86 1.22281258065 0.1173845 2 -1.70130338685 -0.736879036226
87 1.46737509678 0.1270055 2 -1.80691427 -0.459209987496
88 1.46737509678 0.1172885 4 -1.82001348234 -2.18353787649
89 1.34509383872 0.124164 3 -1.75422957893 -1.49314108594
90 1.58965635485 0.1292595 4 -1.85505269404 -1.99272649567
91 1.71193761291 0.1290405 5 -1.90158363392 -2.61444555537
92 1.58965635485 0.1406025 4 -1.84064437576 -1.99272649567
