iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.0 0 0 0 0
3 0.131929140959 0.00181652892562 0 -0.797006253807 0.389845727233
4 0.131929140959 0.00362975206612 0 -0.78589933527 0.389845727233
5 0.131929140959 0.00181652892562 0 -0.797006253807 0.389845727233
6 0.131929140959 0.00362975206612 0 -0.78589933527 0.389845727233
7 0.395787422878 0.0145024793388 0 -1.25676961583 0.671574068779
8 0.659645704796 0.0145190082645 2 -1.5485656547 -1.75223777967
9 0.527716563837 0.0108925619835 2 -1.42911674439 -2.15766386495
10 0.263858281918 0.00363305785124 2 -1.08680385462 -3.61775598562
11 0.263858281918 0.00544628099174 0 -1.07923111487 0.549825436958
12 0.131929140959 0.00181652892562 0 -0.797006253807 0.389845727233
13 0.131929140959 0.00181652892562 0 -0.797006253807 0.389845727233
14 0.263858281918 0.00363305785124 2 -1.08680385462 -3.61775598562
15 0.131929140959 0.00181652892562 0 -0.797006253807 0.389845727233
16 0.263858281918 0.00363305785124 2 -1.08680385462 -3.61775598562
17 0.0 0 0 0 0
18 0.0 0 0 0 0
19 0.0 0 0 0 0
20 0.0 0 0 0 0
21 0.0 0 0 0 0
22 0.0 0 0 0 0
23 0.0 0 0 0 0
24 0.131929140959 0.00543966942149 0 -0.774812666357 0.389845727233
25 0.263858281918 0.010879338843 0 -1.05654050816 0.549825436958
26 0.395787422878 0.0144826446281 2 -1.25683499387 -2.72203588424
27 0.527716563837 0.0145123966942 2 -1.41910721237 -2.15766386495
28 0.659645704796 0.0235685950413 0 -1.52684297705 0.862351192722
29 0.659645704796 0.030758677686 2 -1.5095838633 -1.75223777967
30 0.527716563837 0.0217355371901 0 -1.39913385394 0.773380269558
31 0.395787422878 0.0162958677686 0 -1.25085835149 0.671574068779
32 0.527716563837 0.0253256198347 0 -1.38920659205 0.773380269558
33 0.395787422878 0.0235090909091 0 -1.22708253808 0.671574068779
34 0.395787422878 0.0361289256198 0 -1.18548576094 0.671574068779
35 0.395787422878 0.0379355371901 0 -1.17953091125 0.671574068779
36 0.527716563837 0.0325619834711 0 -1.36919666912 0.773380269558
37 0.923503986714 0.039867768595 0 -1.69685078549 1.01493653039
38 0.791574845755 0.0289917355372 2 -1.62453344569 -1.43828463994
39 0.395787422878 0.0325190082645 0 -1.19738456399 0.671574068779
40 0.527716563837 0.0271421487603 0 -1.38418354378 0.773380269558
41 0.527716563837 0.0253520661157 0 -1.38913346305 0.773380269558
42 0.395787422878 0.0217355371901 0 -1.23292842437 0.671574068779
43 0.395787422878 0.0181272727273 0 -1.24482177925 0.671574068779
44 0.263858281918 0.0144958677686 0 -1.04143644747 0.549825436958
45 0.395787422878 0.0162958677686 0 -1.25085835149 0.671574068779
46 0.395787422878 0.0216495867769 2 -1.23321172921 -2.72203588424
47 0.659645704796 0.0306925619835 2 -1.5097425678 -1.75223777967
48 0.791574845755 0.0416347107438 0 -1.59760007174 0.942143531202
49 0.923503986714 0.0578611570248 0 -1.66229799707 1.01493653039
50 0.923503986714 0.059641322314 0 -1.65887953729 1.01493653039
51 0.923503986714 0.0632446280992 0 -1.65196009224 1.01493653039
52 0.923503986714 0.0523652892562 2 -1.67285173779 -1.18307570343
53 1.18736226863 0.0452743801653 2 -1.84081137144 -0.783501544004
54 1.45122055055 0.0561504132231 3 -1.9443694859 -1.34368093836
55 1.31929140959 0.0632876033058 2 -1.87683472569 -0.621000304188
56 1.05543312767 0.0452578512397 2 -1.76913568314 -0.968481523892
57 0.791574845755 0.0343785123967 2 -1.61305797625 -1.43828463994
58 0.659645704796 0.0271752066116 0 -1.51818564689 0.862351192722
59 0.659645704796 0.0307917355372 0 -1.50950451105 0.862351192722
60 0.659645704796 0.0181289256198 2 -1.53990038931 -1.75223777967
61 0.791574845755 0.0163355371901 3 -1.65149498894 -2.62849872551
62 0.527716563837 0.0127024793388 2 -1.42411197838 -2.15766386495
63 0.395787422878 0.00726280991736 2 -1.28063259996 -2.72203588424
64 0.395787422878 0.00907272727273 2 -1.27466685393 -2.72203588424
65 0.263858281918 0.00725619834711 0 -1.07167218139 0.549825436958
66 0.395787422878 0.0144826446281 2 -1.25683499387 -2.72203588424
67 0.527716563837 0.0181223140496 2 -1.40912510372 -2.15766386495
68 0.527716563837 0.0199289256198 2 -1.40412947883 -2.15766386495
69 0.659645704796 0.0145190082645 2 -1.5485656547 -1.75223777967
70 0.659645704796 0.016332231405 2 -1.54421318395 -1.75223777967
71 0.659645704796 0.0199553719008 0 -1.53551617766 0.862351192722
72 0.791574845755 0.0217652892562 2 -1.63992796927 -1.43828463994
73 0.659645704796 0.0235652892562 2 -1.52685091228 -1.75223777967
74 0.659645704796 0.023558677686 2 -1.52686678272 -1.75223777967
75 0.659645704796 0.025358677686 2 -1.52254605287 -1.75223777967
76 0.659645704796 0.0307388429752 2 -1.50963147465 -1.75223777967
77 0.923503986714 0.0362148760331 0 -1.70386545226 1.01493653039
78 0.923503986714 0.0362082644628 2 -1.70387814849 -1.18307570343
79 0.659645704796 0.0307454545455 0 -1.5096156042 0.862351192722
80 0.527716563837 0.0235421487603 0 -1.39413822906 0.773380269558
81 0.659645704796 0.0271553719008 2 -1.51823325824 -1.75223777967
82 0.791574845755 0.0433884297521 2 -1.59386411805 -1.43828463994
83 0.923503986714 0.0542479338843 2 -1.66923648646 -1.18307570343
84 0.659645704796 0.0488016528926 0 -1.46627340682 0.862351192722
85 0.659645704796 0.0613983471074 0 -1.43603623306 0.862351192722
86 0.659645704796 0.0577652892562 0 -1.44475704502 0.862351192722
87 0.791574845755 0.0668082644628 0 -1.5439727629 0.942143531202
88 0.791574845755 0.0632148760331 0 -1.55162777074 0.942143531202
89 0.791574845755 0.0702859504132 0 -1.53656423645 0.942143531202
