iteration WT PI FT TD FD
0 0.122281258065 0.0009995 0 -0.754358625379 0.373252102833
1 0.0 0 0 0 0
2 0.0 0 0 0 0
3 0.0 0 0 0 0
4 0.0 0 0 0 0
5 0.0 0 0 0 0
6 0.122281258065 0.0029955 0 -0.7419437343 0.373252102833
7 0.122281258065 0.0009995 0 -0.754358625379 0.373252102833
8 0.122281258065 0.0029955 0 -0.7419437343 0.373252102833
9 0.122281258065 0.001998 0 -0.748148069897 0.373252102833
10 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
11 0.366843774195 0.0049955 0 -1.21662514043 0.643889877609
12 0.611406290326 0.009988 2 -1.47781956985 -1.88037289375
13 0.48912503226 0.011977 0 -1.34839260023 0.742011417482
14 0.366843774195 0.005993 0 -1.2132712939 0.643889877609
15 0.24456251613 0.005987 0 -1.0142085828 0.526792822454
16 0.366843774195 0.0049945 2 -1.21662850268 -2.86654111728
17 0.366843774195 0.007981 2 -1.20658713661 -2.86654111728
18 0.48912503226 0.0089805 2 -1.35686053503 -2.29202433429
19 0.48912503226 0.013947 2 -1.34282549476 -2.29202433429
20 0.48912503226 0.015914 2 -1.33726686711 -2.29202433429
21 0.366843774195 0.0208185 2 -1.16342422455 -2.86654111728
22 0.24456251613 0.0247115 0 -0.934608844665 0.526792822454
23 0.24456251613 0.025687 0 -0.930461895772 0.526792822454
24 0.366843774195 0.0188545 2 -1.17002768778 -2.86654111728
25 0.366843774195 0.0208505 0 -1.16331663248 0.643889877609
26 0.24456251613 0.0228115 0 -0.942685936307 0.526792822454
27 0.24456251613 0.031663 0 -0.905057317007 0.526792822454
28 0.24456251613 0.023792 0 -0.938517731909 0.526792822454
29 0.366843774195 0.0208635 0 -1.1632729232 0.643889877609
30 0.366843774195 0.0247745 0 -1.15012315502 0.643889877609
31 0.48912503226 0.03761 0 -1.2759552324 0.742011417482
32 0.48912503226 0.037657 0 -1.27582241313 0.742011417482
33 0.611406290326 0.039647 0 -1.40494075767 0.827939668306
34 0.611406290326 0.037672 2 -1.40979377545 -1.88037289375
35 0.48912503226 0.0385525 0 -1.27329178219 0.742011417482
36 0.366843774195 0.039441 0 -1.10081068375 0.643889877609
37 0.366843774195 0.0442295 0 -1.0847105393 0.643889877609
38 0.366843774195 0.049061 0 -1.068465818 0.643889877609
39 0.48912503226 0.056829 0 -1.2216434557 0.742011417482
40 0.733687548391 0.064712 2 -1.46102174927 -1.56226817743
41 0.733687548391 0.0579985 0 -1.47568382404 0.905161050555
42 0.855968806456 0.060958 0 -1.56721106639 0.975751474443
43 0.978250064521 0.0754925 2 -1.624962148 -1.08735981723
44 0.978250064521 0.074436 2 -1.62686384628 -1.08735981723
45 1.22281258065 0.0944835 3 -1.7365490528 -1.68501460543
46 0.855968806456 0.0906655 2 -1.50864843759 -1.30412477124
47 0.611406290326 0.0905345 0 -1.27989876183 0.827939668306
48 0.855968806456 0.0830105 0 -1.5237387994 0.975751474443
49 0.733687548391 0.0775685 3 -1.43294355394 -2.79598279143
50 0.855968806456 0.0757645 0 -1.53802289629 0.975751474443
51 0.855968806456 0.0853165 0 -1.51919296343 0.975751474443
52 0.855968806456 0.082236 0 -1.52526557735 0.975751474443
53 0.855968806456 0.0797185 0 -1.53022834493 0.975751474443
54 0.855968806456 0.0908835 2 -1.50821869247 -1.30412477124
55 0.611406290326 0.08627 0 -1.29037759438 0.827939668306
56 0.855968806456 0.0948645 0 -1.5003709158 0.975751474443
57 0.978250064521 0.097622 0 -1.58512908399 1.04106667828
58 0.978250064521 0.093787 0 -1.59203207775 1.04106667828
59 0.855968806456 0.082378 0 -1.52498565163 0.975751474443
60 0.855968806456 0.082246 0 -1.52524586427 0.975751474443
