iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.0 0 0 0 0
2 0.0 0 0 0 0
3 0.0 0 0 0 0
4 0.122281258065 0.001998 0 -0.748148069897 0.373252102833
5 0.24456251613 0.003995 0 -1.02267677572 0.526792822454
6 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
7 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
8 0.24456251613 0.003995 0 -1.02267677572 0.526792822454
9 0.366843774195 0.005994 0 -1.21326793165 0.643889877609
10 0.24456251613 0.001999 2 -1.03116197304 -3.7812493975
11 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
12 0.24456251613 0.0029975 0 -1.02691724883 0.526792822454
13 0.366843774195 0.003997 2 -1.21998234921 -2.86654111728
14 0.24456251613 0.001999 2 -1.03116197304 -3.7812493975
15 0.366843774195 0.005993 0 -1.2132712939 0.643889877609
16 0.366843774195 0.0069905 0 -1.20991744738 0.643889877609
17 0.48912503226 0.0109765 2 -1.35121995507 -2.29202433429
18 0.366843774195 0.009979 0 -1.1998693568 0.643889877609
19 0.48912503226 0.0109765 2 -1.35121995507 -2.29202433429
20 0.733687548391 0.019945 2 -1.55879148212 -1.56226817743
21 0.855968806456 0.0269215 2 -1.634307487 -1.30412477124
22 0.733687548391 0.02195 0 -1.5544126246 0.905161050555
23 0.733687548391 0.031888 0 -1.53270834232 0.905161050555
24 0.855968806456 0.0289065 2 -1.63039444087 -1.30412477124
25 1.22281258065 0.037859 3 -1.82369669751 -1.68501460543
26 1.22281258065 0.039813 4 -1.82068940389 -2.63315017464
27 1.10053132259 0.0448075 2 -1.75082589615 -0.900710377713
28 1.10053132259 0.047734 3 -1.74597255111 -1.90209085969
29 1.10053132259 0.0526645 3 -1.73779574682 -1.90209085969
30 1.10053132259 0.0487455 2 -1.74429506656 -0.900710377713
31 1.46737509678 0.055716 3 -1.90301762475 -1.32137393199
32 1.34509383872 0.057712 3 -1.84970768118 -1.49314108594
33 1.58965635485 0.0765685 0 -1.92198284469 1.31423182901
34 1.71193761291 0.0667355 2 -1.9764325722 -0.229047791353
35 1.71193761291 0.061755 3 -1.98241580207 -1.02418037936
36 1.83421887098 0.0687215 3 -2.01238645469 -0.893802035243
37 1.58965635485 0.073656 2 -1.92568241509 -0.339247333329
38 1.58965635485 0.0796155 3 -1.91811242718 -1.1659869145
39 1.58965635485 0.0726685 3 -1.92693677586 -1.1659869145
40 1.58965635485 0.051829 3 -1.95340791656 -1.1659869145
41 1.58965635485 0.0528345 2 -1.95213069149 -0.339247333329
42 1.58965635485 0.0567795 2 -1.94711959957 -0.339247333329
43 1.46737509678 0.0627645 2 -1.89351574164 -0.459209987496
44 1.83421887098 0.069727 2 -2.01124034447 -0.127104056531
45 1.58965635485 0.0627555 3 -1.93952865272 -1.1659869145
46 1.34509383872 0.057772 2 -1.8496214733 -0.59088987625
47 1.34509383872 0.053774 3 -1.8553657918 -1.49314108594
48 1.34509383872 0.0627175 2 -1.84251578867 -0.59088987625
49 1.46737509678 0.063722 2 -1.89222496302 -0.459209987496
50 1.58965635485 0.05776 3 -1.94587413046 -1.1659869145
51 1.58965635485 0.059705 3 -1.94340351607 -1.1659869145
52 1.58965635485 0.069608 2 -1.9308243416 -0.339247333329
53 1.46737509678 0.071568 3 -1.88164799276 -1.32137393199
54 1.34509383872 0.069628 2 -1.83258679593 -0.59088987625
55 1.22281258065 0.0646075 2 -1.78252955653 -0.736879036226
56 1.34509383872 0.059638 3 -1.84694040819 -1.49314108594
57 1.46737509678 0.0705645 2 -1.88300078268 -0.459209987496
58 1.46737509678 0.075523 2 -1.87631636934 -0.459209987496
59 1.34509383872 0.077473 2 -1.82131511544 -0.59088987625
60 1.22281258065 0.0784885 2 -1.76116607506 -0.736879036226
61 1.22281258065 0.06961 2 -1.7748304847 -0.736879036226
62 1.46737509678 0.0686735 3 -1.88554998619 -1.32137393199
63 1.22281258065 0.057732 3 -1.79311125934 -1.68501460543
64 1.22281258065 0.0607045 3 -1.78853644855 -1.68501460543
65 1.22281258065 0.055756 4 -1.79615241195 -2.63315017464
66 1.34509383872 0.0685785 5 -1.83409471546 -3.29764350531
67 1.71193761291 0.0686015 5 -1.97419088824 -2.61444555537
68 1.71193761291 0.081468 5 -1.9587339608 -2.61444555537
69 1.95650012904 0.075473 5 -2.04014573406 -2.25503251914
70 1.83421887098 0.0666315 5 -2.01476872257 -2.42719799267
71 1.83421887098 0.067629 5 -2.01363173108 -2.42719799267
72 1.71193761291 0.063736 5 -1.98003596503 -2.61444555537
73 1.71193761291 0.0567555 4 -1.98842185723 -1.81931296737
74 1.71193761291 0.055727 5 -1.98965742634 -2.61444555537
75 1.71193761291 0.0606445 4 -1.98374988033 -1.81931296737
76 1.71193761291 0.0606465 5 -1.98374747767 -2.61444555537
77 1.58965635485 0.0625945 5 -1.93973316116 -2.81946607683
78 1.46737509678 0.0743105 4 -1.87795090623 -2.18353787649
79 1.46737509678 0.069349 4 -1.88463936378 -2.18353787649
80 1.71193761291 0.067546 6 -1.97545889329 -3.40957814338
81 1.58965635485 0.07929 4 -1.9185258899 -1.99272649567
82 1.71193761291 0.0724265 5 -1.96959579653 -2.61444555537
83 1.71193761291 0.0802645 6 -1.96017976286 -3.40957814338
84 1.95650012904 0.0782025 8 -2.037185342 -4.4778345051
85 1.95650012904 0.0763375 6 -2.03920810485 -2.99596651446
86 1.95650012904 0.075246 9 -2.0403919363 -5.21876850041
87 1.83421887098 0.0821655 6 -1.99706243102 -3.19389597138
88 1.83421887098 0.065491 8 -2.01606871134 -4.72729192881
89 1.71193761291 0.065487 6 -1.97793243416 -3.40957814338
90 1.83421887098 0.0644995 9 -2.01719886378 -5.49398990752
91 1.95650012904 0.069496 7 -2.0466283365 -3.73690050978
