iteration WT PI FT TD FD
0 0.0 0 0 0 0
1 0.122281258065 0.0029955 0 -0.7419437343 0.373252102833
2 0.122281258065 0.0009995 0 -0.754358625379 0.373252102833
3 0.366843774195 0.005993 0 -1.2132712939 0.643889877609
4 0.24456251613 0.0049935 0 -1.0184320515 0.526792822454
5 0.48912503226 0.0069925 2 -1.36247850746 -2.29202433429
6 0.366843774195 0.0089865 0 -1.20320639207 0.643889877609
7 0.366843774195 0.007988 0 -1.20656360085 0.643889877609
8 0.48912503226 0.0109725 2 -1.35123125883 -2.29202433429
9 0.366843774195 0.005993 0 -1.2132712939 0.643889877609
10 0.48912503226 0.009986 0 -1.35401905048 0.742011417482
11 0.48912503226 0.0129685 0 -1.34559067887 0.742011417482
12 0.366843774195 0.0129615 0 -1.18984143975 0.643889877609
13 0.48912503226 0.0189355 0 -1.32872828376 0.742011417482
14 0.48912503226 0.0189355 0 -1.32872828376 0.742011417482
15 0.366843774195 0.017907 0 -1.1732134217 0.643889877609
16 0.366843774195 0.0149465 0 -1.18316736921 0.643889877609
17 0.611406290326 0.0169625 0 -1.46068165976 0.827939668306
18 0.733687548391 0.017965 0 -1.56311574041 0.905161050555
19 0.733687548391 0.02195 0 -1.5544126246 0.905161050555
20 0.733687548391 0.027915 0 -1.5413852505 0.905161050555
21 0.978250064521 0.021953 2 -1.72133316093 -1.08735981723
22 0.733687548391 0.0229265 2 -1.55227997903 -1.56226817743
23 0.48912503226 0.021907 0 -1.32033099751 0.742011417482
24 0.48912503226 0.021898 0 -1.32035643099 0.742011417482
25 0.48912503226 0.0248725 0 -1.31195066691 0.742011417482
26 0.48912503226 0.025846 2 -1.3091996125 -2.29202433429
27 0.48912503226 0.0327595 0 -1.28966246342 0.742011417482
28 0.611406290326 0.0377055 2 -1.40971145843 -1.88037289375
29 0.733687548391 0.039677 0 -1.51569740906 0.905161050555
30 0.855968806456 0.043658 2 -1.60131469269 -1.30412477124
31 0.855968806456 0.048635 2 -1.59150349338 -1.30412477124
32 0.611406290326 0.051497 0 -1.37582265105 0.827939668306
33 0.611406290326 0.0503855 2 -1.37855385574 -1.88037289375
34 0.855968806456 0.050393 3 -1.58803793413 -2.44406289408
35 0.48912503226 0.0474655 0 -1.24810416235 0.742011417482
36 0.48912503226 0.0522555 0 -1.23456790082 0.742011417482
37 0.366843774195 0.062792 0 -1.02229873364 0.643889877609
38 0.611406290326 0.064845 0 -1.3430236226 0.827939668306
39 0.611406290326 0.065041 0 -1.34254200665 0.827939668306
40 0.611406290326 0.053437 0 -1.37105563613 0.827939668306
41 0.855968806456 0.060295 2 -1.56851804352 -1.30412477124
42 0.733687548391 0.0525655 0 -1.48754932672 0.905161050555
43 0.855968806456 0.0526245 2 -1.5836389606 -1.30412477124
44 0.855968806456 0.051544 2 -1.58576895876 -1.30412477124
